id,entrega,estado_anterior,estado_revisado,fontes,conclusao_e_aceite_restante,metodo,commit
UX01,Linha de base e cobertura,I,I,docs/PLANO_UX_100_ETAPAS_20260909.md; docs/RELATORIO_EXPERIENCIA_MARKETING_GEN_Z_20260909.md; docs/audits/plan-review-20260912/http-production.json,Inventário e planos localizados; esta revisão atualiza evidências e distingue simulações de produção.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX02,Continuidade e métricas,P,P,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/analytics.ts; src/lib/analytics.test.ts; scripts/check-performance-budget.mjs; src/App.tsx,Persistência local e eventos existem; faltam métricas operacionais e resolução de conflitos entre campanhas/dispositivos.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX03,Testes de contrato das falhas,P,P,e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Regressões anteriores cobertas; B01-B06 e instabilidade WebKit B07 ainda não integram os gates permanentes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX04,Consulta de novidades,I,I,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Novidades consultáveis em produção e lógica coberta; catálogo não exige estoque positivo.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX05,Autocomplete e atalhos,I,I,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Autocomplete fechado não intercepta atalhos; teclado e aria-activedescendant cobertos.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX06,Erros com recuperação útil,P,P,src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json; src/pages/CustomerAccountPage.tsx; src/pages/CustomerQuotePage.tsx; src/lib/customerAccount.ts; api/customer-proposals.ts; tests/api/customer-proposals.test.ts,Recuperação existe; mínimo desconhecido gera mensagem incorreta B02 e erro com detalhe anterior é ocultado B04.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX07,Rascunho de orçamento,I,P,src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Rascunho de 24h existe; após sucesso o efeito o recria com contato e consentimento B01.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX08,Comparação ao navegar,I,I,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,Comparação em sessão revalida IDs e avisa sobre remoção ou fallback; não é sincronização entre dispositivos.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX09,Contexto da campanha,I,I,src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Contexto estruturado acompanha descoberta e briefing; duplicação de link limpa contexto anterior.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX10,Aceitar estabilização,P,P,e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Correções anteriores publicadas; novos defeitos e execução WebKit com falha impedem encerrar estabilização.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
