"id","entrega","status_base_7104660","status_revisao","verificacao_nesta_rodada","observacao_atual","evidencia_historica"
"UX01","Linha de base e cobertura","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Inventário e auditorias existem; esta revisão atualiza estado no HEAD. DOC/QA."
"UX02","Continuidade e métricas","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Contratos locais existem; métricas operacionais e continuidade entre dispositivos não estão completas. CART/METRIC/F11."
"UX03","Testes de contrato das falhas","P","P","REAVALIADO","Suítes atuais passam, mas não cobrem truncamento 50→8, variantes longas, registros locais corrompidos e troca SPA para link revogado. R01–R04.","Suítes amplas; faltam regressões dos novos defeitos F01–F12. QA."
"UX04","Consulta de novidades","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Perfil e testes implementados sem depender de estoque positivo. CAT/PROD."
"UX05","Autocomplete e atalhos","I","I","REAVALIADO","Correção adicional local remove aria-activedescendant ao fechar por blur; teste específico aprovado. Ainda não publicada. src/components/SearchAutocomplete.tsx e .test.tsx.","Tratamento de sugestões e navegação coberto no fluxo existente. CAT/NAV/QA."
"UX06","Erros com recuperação útil","P","P","REAVALIADO","Demora inicial tratada, mas troca de link mantém itens anteriores acionáveis após erro. R04; demais recuperações cobertas no smoke.","Retry em catálogo/conta existe; compartilhamento e ajustes ainda falham. F01/F07."
"UX07","Rascunho de orçamento","I","I","REAVALIADO","Persistência de rascunho em sessão e limpeza em mudança de identidade implementadas; testes do rascunho passaram. Não equivale a sincronização de campanhas.","Rascunho com prazo de 24h em sessionStorage e testes; limites entre contas estão em UX79. CART/QUOTE."
"UX08","Comparação ao navegar","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Persistência de comparação em sessão, remoção e limite de três. PROD/QA."
"UX09","Contexto da campanha","P","I","REAVALIADO","Duplicação agora limpa metadados anteriores atomicamente; contexto principal tem testes. src/context/QuoteCartContext.tsx; e2e/smoke.spec.ts.","Contexto acompanha descoberta e briefing, mas duplicação compartilhada mistura contexto anterior. CUR/QUOTE/F02."
"UX10","Aceitar estabilização","P","P","REAVALIADO","Estabilização não encerrada: R01–R04 reproduzidos apesar das suítes aprovadas.","Testes básicos passam; não encerrar enquanto regressões de continuidade persistirem. QA/F01–F03."
"UX11","Arquitetura da informação","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Rotas e navegação por tarefa existem; compreensão por compradores reais não comprovada. NAV/DOC."
"UX12","Nomes das tarefas","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Rótulos ajustados; documentação mantém nomenclatura anterior e falta validação consistente de compreensão. NAV/DOC/F14."
"UX13","Guia de voz","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Estratégia define tom, mas não há guia consolidado atualizado com exemplos e governança de todos os contextos. HOME/DOC."
"UX14","Sistema visual","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Tokens, padrões visuais e layouts compartilhados implementados. HOME/NAV/QA."
"UX15","Cabeçalho por tarefa","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Acessos de catálogo, busca, seleção e conta implementados. NAV."
"UX16","Busca móvel","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Entrada e navegação móvel presentes e cobertas no smoke. NAV/CAT/QA."
"UX17","Painéis e diálogos","P","P","REAVALIADO","Confirmação compartilhada possui foco, ciclo Tab/Escape e retorno no lote local; falta bloqueio de rolagem nesse modal e validação completa de sobreposições.","Padrões de foco/Escape existem; confirmação não cobre duplicação compartilhada. NAV/CART/F02."
"UX18","Orientação e posição","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Breadcrumbs/URL/foco presentes; retorno exato de scroll em todas as combinações não demonstrado. NAV/CAT/QA."
"UX19","Erros e vazios","P","P","REAVALIADO","Rota geral/produto inexistentes retornam 404; /ideias/revisao-inexistente-20260911 ainda retorna 200. R05.","Componentes existem; subrota editorial inválida retorna HTTP 200. SEO/F05."
"UX20","Testar navegação com tarefas","E","E","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Automação não substitui sessões com compradores; resultados de participantes não encontrados. DOC/QA."
"UX21","Ordem da home por intenção","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Home reorganizada; eficácia e antecipação ideal dos produtos ainda sem validação com público. HOME."
"UX22","Promessa no primeiro bloco","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Proposta sob medida e fluxo sem compra são explícitos. HOME/QUOTE."
"UX23","Produtos que mostrem repertório","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Produtos reais aparecem; seleção editorial diversa com responsável/revisão ainda não comprovada. HOME/CUR."
"UX24","Campanhas distintas","P","P","REAVALIADO","Finder deixou de presumir kit para onboarding; biblioteca mantém onboarding com perfil=kits e outros recortes amplos. Falta relevância julgada. R09.","Entradas existem; várias convergem para kits/destaques amplos. CUR/F09."
"UX25","Quatro frases da marca","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Frases incorporadas e protegidas por testes de presença. HOME/QA."
"UX26","Case comercial real","E","E","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Não há case publicado com conjunto completo de evidências/autorização identificado. HOME/DOC."
