"id","entrega","status_anterior","status_20260912","nivel_de_evidencia","observacao_20260912","evidencia_documental_anterior"
"UX01","Linha de base e cobertura","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Inventário e auditorias existem; esta revisão atualiza estado no HEAD. DOC/QA."
"UX02","Continuidade e métricas","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Contratos locais existem; métricas operacionais e continuidade entre dispositivos não estão completas. CART/METRIC/F11."
"UX03","Testes de contrato das falhas","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","R01–R04 anteriores corrigidos no recorte verificado; 161 testes passam. Reproduzidos novos defeitos A01 (shell em produção), A02 (digitação na ficha) e A03 (variantes ausentes). Falta gate real da hospedagem.","Suítes amplas; faltam regressões dos novos defeitos F01–F12. QA."
"UX04","Consulta de novidades","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Perfil e testes implementados sem depender de estoque positivo. CAT/PROD."
"UX05","Autocomplete e atalhos","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Correção de aria-activedescendant está no HEAD 561a548 e no main remoto; teste aprovado. Retificar anotação anterior de alteração ainda não publicada.","Tratamento de sugestões e navegação coberto no fluxo existente. CAT/NAV/QA."
"UX06","Erros com recuperação útil","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Troca para compartilhamento revogado limpa itens antigos no cenário simulado. Subrota editorial inválida agora responde 404, mas seu HTML é o login da Vercel (A01). Recuperação pública não encerrada.","Retry em catálogo/conta existe; compartilhamento e ajustes ainda falham. F01/F07."
"UX07","Rascunho de orçamento","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Rascunho de sessão com expiração e limpeza por identidade implementado/testado; não representa várias campanhas remotas.","Rascunho com prazo de 24h em sessionStorage e testes; limites entre contas estão em UX79. CART/QUOTE."
"UX08","Comparação ao navegar","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Persistência de comparação em sessão, remoção e limite de três. PROD/QA."
"UX09","Contexto da campanha","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Correções de contexto na duplicação e escopo da verba permanecem versionadas em 561a548; suíte de contratos aprovada. Isto não comprova a cadeia comercial real.","Contexto acompanha descoberta e briefing, mas duplicação compartilhada mistura contexto anterior. CUR/QUOTE/F02."
"UX10","Aceitar estabilização","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","R01–R04 anteriores corrigidos no recorte verificado; 161 testes passam. Reproduzidos novos defeitos A01 (shell em produção), A02 (digitação na ficha) e A03 (variantes ausentes). Falta gate real da hospedagem.","Testes básicos passam; não encerrar enquanto regressões de continuidade persistirem. QA/F01–F03."
"UX11","Arquitetura da informação","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Rotas e navegação por tarefa existem; compreensão por compradores reais não comprovada. NAV/DOC."
"UX12","Nomes das tarefas","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Rótulos ajustados; documentação mantém nomenclatura anterior e falta validação consistente de compreensão. NAV/DOC/F14."
"UX13","Guia de voz","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Estratégia define tom, mas não há guia consolidado atualizado com exemplos e governança de todos os contextos. HOME/DOC."
"UX14","Sistema visual","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Tokens, padrões visuais e layouts compartilhados implementados. HOME/NAV/QA."
"UX15","Cabeçalho por tarefa","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Acessos de catálogo, busca, seleção e conta implementados. NAV."
"UX16","Busca móvel","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Entrada e navegação móvel presentes e cobertas no smoke. NAV/CAT/QA."
"UX17","Painéis e diálogos","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Diálogo com teclado/foco e bloqueio de scroll incluídos no HEAD; suíte local aprovada. Aceite integral das sobreposições/leitores de tela ainda pendente.","Padrões de foco/Escape existem; confirmação não cobre duplicação compartilhada. NAV/CART/F02."
"UX18","Orientação e posição","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Breadcrumbs/URL/foco presentes; retorno exato de scroll em todas as combinações não demonstrado. NAV/CAT/QA."
"UX19","Erros e vazios","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Troca para compartilhamento revogado limpa itens antigos no cenário simulado. Subrota editorial inválida agora responde 404, mas seu HTML é o login da Vercel (A01). Recuperação pública não encerrada.","Componentes existem; subrota editorial inválida retorna HTTP 200. SEO/F05."
"UX20","Testar navegação com tarefas","E","E","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Automação não substitui sessões com compradores; resultados de participantes não encontrados. DOC/QA."
"UX21","Ordem da home por intenção","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Home reorganizada; eficácia e antecipação ideal dos produtos ainda sem validação com público. HOME."
"UX22","Promessa no primeiro bloco","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Proposta sob medida e fluxo sem compra são explícitos. HOME/QUOTE."
